1,Biomass,Coal Burning,Industrial Emission,Soil and Construction,Vehicle Emission
55Mn+54Fe+63Cu+107Ag,,,1.0,,
55Mn+54Fe+63Cu+64Zn,,0.9090909090909091,,,
55Mn+54Fe+63Cu+64Zn+120Sn+140Ce+208Pb,,1.0,,,
55Mn+54Fe+63Cu+64Zn+120Sn+208Pb,,1.0,,,
55Mn+54Fe+63Cu+64Zn+121Sb+208Pb,,1.0,,,
55Mn+54Fe+63Cu+64Zn+208Pb,,1.0,,,
55Mn+54Fe+64Zn+120Sn+121Sb,,1.0,,,
55Mn+54Fe+64Zn+120Sn+140Ce+208Pb,,1.0,,,
55Mn+54Fe+64Zn+120Sn+208Pb,,1.0,,,
55Mn+54Fe+64Zn+208Pb,,1.0,,,
55Mn+54Fe+69Ga+138Ba,,,1.0,,
55Mn+54Fe+89Y+90Zr,,,1.0,,
55Mn+59Co+138Ba,,,,1.0,
55Mn+59Co+208Pb,,,,1.0,
55Mn+63Cu+64Zn,,1.0,,,
55Mn+63Cu+64Zn+208Pb,,1.0,,,
55Mn+63Cu+64Zn+88Sr+138Ba+208Pb,1.0,,,,
55Mn+64Zn+120Sn+208Pb,,1.0,,,
55Mn+64Zn+121Sb,,1.0,,,
55Mn+69Ga+138Ba,,,,1.0,
55Mn+69Ga+85Rb+208Pb,,,,,1.0
55Mn+85Rb+138Ba,,,,1.0,
55Mn+88Sr,,,,1.0,
55Mn+89Y+90Zr,,,,1.0,
60Ni+63Cu,,,,,1.0
60Ni+64Zn,,,,,1.0
60Ni+64Zn+208Pb,,,,,1.0
63Cu+120Sn,,1.0,,,
63Cu+120Sn+138Ba+208Pb,,,,,1.0
63Cu+138Ba+208Pb,,,,,1.0
63Cu+208Pb,,0.9411764705882353,,,
63Cu+64Zn+120Sn+208Pb,,1.0,,,
63Cu+64Zn+138Ba,1.0,,,,
63Cu+64Zn+88Sr+138Ba,1.0,,,,
63Cu+69Ga+138Ba+208Pb,,,,,1.0
63Cu+88Sr,1.0,,,,
64Zn+120Sn,,1.0,,,
64Zn+208Pb,,0.9411764705882353,,,
69Ga+138Ba,,,,1.0,
69Ga+138Ba+208Pb,,,,,1.0
69Ga+208Pb,,,,,1.0
69Ga+88Sr+138Ba,,,,1.0,
85Rb+138Ba,,,,1.0,
88Sr+138Ba,,,,1.0,
88Sr+138Ba+139La+140Ce+152Sm,,,1.0,,
88Sr+90Zr+138Ba,,,,1.0,
89Y+90Zr,,,,0.9166666666666666,
90Zr+139La+140Ce,,,,1.0,
